0	1	2	3	4	5
2408812	1068120	What color is the table?	White.	Wana launi ne tebur?	Fari.
2346120	326758	What is between the pizza and the paddle?	Paper.	Mene ne tsakanin fizza da kwanan katakon?	Takarda.
2367174	1775788	What is white above the cows?	Clouds.	Mene ne fari a saman shanun?	Gajimare.
2337764	845214	What color is the right train?	Taupe and blue.	Wana launi ne jirgin ƙasan dake ɓarin dama?	Ruwan ƙasa mai haske da shuɗi.
2332725	849239	What is the man having in his hands?	Vase.	Me mutumin yake dashi a hannun shi?	Kaskon furanni.
2386514	486371	What color is the fence?	White and gray.	Wana launi ce shingen?	Fari da launin toka.
2368614	500687	What fruit is in this picture?	Banana.	Wana kayan marmare ne ajikin hoton?	Ayaba.
2360200	1636846	What is on the boy's backs?	Backpacks.	Mene ne abayan  yaran?	Jakunkunan goyo.
2349168	644127	How many people are standing on the sand?	Four.	Mutane nawa ne suke tsaye akan yashi?	Huɗu.
2331288	658417	How many dinosaurs are in the picture?	Zero.	Dinaso guda nawa ne a hoton?	Babu.
2331905	849894	When was picture taken?	During daylight.	Da yaushe aka dauki hoton?	Da rana.
2331905	849890	What is this?	A city setting.	Menene wannan?	Yankin birni.
2408245	1055629	What holiday could this be?	Halloween.	Wani hutu ne wannan?	Halloween.
2321066	887821	Where was this photo taken?	At a park.	A ina aka dauki hton?	A wurin wasa.
2375873	1954716	What is large and green?	Banana Leaves.	Menene babba kuma kore?	Ganyen ayaba.
2394993	1508746	How are the mirrors staying on the wall?	They are bolted on the wall.	Yaya madubin suke a jikin bangon?	An kafa su ne a jikin banhon.
2335893	590781	What vehicle is shown?	Bus.	Wani abun hawa aka nunaa?	Bus.
2407575	1041646	What is the bird standing on?	Black net.	Akan me tsuntsun yake tsaye?	Bakin kwando.
2407575	195786	What color is the bird?	Brown.	Wani launi ne tsuntsun?	Ruwan kasa.
2328103	276826	How many printers do you see?	Two.	Firinta nawa ake gani?	Biyu.
2402465	793449	What is the bird covered with?	Feathers.	Mene ya lullube tsuntsun?	Gashim tsuntsu.
2402465	793442	What kind of animal is this?	A bird.	Wani irin dabba me wannan?	Tsuntsu ne.
2348077	452203	What is in the batter's hands?	Bat.	Menene a hannun me buga kwallon?	Bat.
2372279	1881264	Where os the woman standing?	Grass.	A ina matar take tsaye?	Akan ciyawa.
2405438	1160300	Where is a cat?	On the desk.	Ina magen take?	Akan tebur.
2372900	1894973	Where is the island?	In the distance.	Ina tsuburin yake?	A can baya.
2373825	1914036	Where is the mirror?	On the wall.	Ina madubin yake?	A jikin bango.
2388717	420559	How is the sky?	Cloudy.	Yaya sararin sama yake?	Da hadari.
2346120	326757	How many plates are on the table?	One.	Farantai nawa ne akan tebur din?	Daya.
2320105	895511	Where is this activity?	Out-of-doors.	A ina wannan wasan yake?	A waje.
2412284	158114	Where was this taken?	Tennis court.	A ina aka dauki wannan?	Filin wasan tennis.
2412284	1121378	How many people are actively playing tennis?	One.	Mutane nawa ne suke kan yin wasan tennis a wurin?	Daya.
2398626	1526407	Where is the hockey game?	On television.	Ina wasan hockey din yake?	A talabijin.
2332725	849235	What is the color of the pot?	Purple.	Menene launin tukunyar?	Ruwan malmo.
2345386	775117	What color is the couch?	White.	Wacce launi ce kujerar?	Fara.
2394894	1381430	What kind of the cheese is in the container?	Laughing Cow.	Wana irin cukwi ne a robar?	Laughing Cow.
2404964	1150208	What is the color of the roof?	Green.	Menene launin rufin?	Kore.
2334356	461201	What color is the paper bag?	Brown.	Wani launi ne jakar takardar?	Ruwan kasa.
2334356	461206	What color is the question mark?	Black.	Wani launi ne alamar tambayan?	Baki.
2319780	898112	Where was the picture taken?	Road.	A ina aka dauki hoton?	Kan hanya.
2349168	644126	What color is the suit of the airborne person?	Blue.	Menene launin kwat din na kan iskar?	Shuɗi.
2404745	958181	What is the cat on?	The floor.	Akan me magen take?	Ƙasa.
2362811	1688933	What is the man on the cake doing?	Fishing.	Me mutumin na kan kek din yakeyi?	Kamun kifi.
2326403	278140	How many chimneys are visible?	Three.	Bututun hayaqi nawa ne a wurin?	Uku.
2338998	396434	What color is the book case?	Black.	Menene launin wurin aje littattafan?	Baƙi.
2346840	326178	How is the room?	Well lit.	Yaya dakin yake?	Ya haskaka.
2331905	849896	What is in front of building?	Busses.	Menene a gaban ginin?	Motocin bas.
2408923	185002	What is the cat's paws resting on?	A newspaper.	Hannun magen akan me yake?	Akan jarida.
2321066	887824	What color are the boy's shorts?	Yellow.	Menene launin gajeran wandon yaron?	Ruwan dorawa.
2384285	807990	What is the animal eating?	A carrot.	Me dabbar take ci?	Karas.
2375873	558845	How many flowers are in the photo?	One.	Furrai nawa ne a hoton?	Daya.
2335893	590786	How many animals are shown?	0	Dabbobin nawa aka nuna?	0
2335893	590784	How many buses are shown?	1	Motocin bas nawa aka nuna?	1
2377152	1980315	What is growing in this tree?	Bananas.	Me yake girma akan bishiya?	Ayaba.
2326112	598583	What color is the water?	Blue.	Wana launi ne ruwan?	Shuɗi.
2326112	598584	What color is the sky?	Clear.	Wana launi sararin samaniya?	Haske.
2345977	453736	How many women are there?	One.	Mata nawa ne a wajan?	Ɗaya.
2342996	455830	What color is the ground?	Grey.	Wana launi ne ƙasan?	Ruwan toka.
2380647	746898	How is the photo?	Clear.	Yaya hoton?	Haske.
2412956	1137122	What does the airplane in right background appear to be doing?	Taking off.	Me jirgin saman dake ɓarin dama yakeyi?	Tashi sama.
107919	995226	What is on the man's head?	A hat.	Menene akan mutumin?	Hula.
2315926	928942	How is the weather?	Overcast.	Yaya yanayin?	Giza-gizai.
2346120	326756	What is melted on the pizza?	Cheese.	Menene narkakke akan fizzan?	Cukwi.
2390460	1548982	What kind of food is this?	Chinese.	Wani irin abinci ne wannan?	Na yan sin.
2390460	290069	What is under the rice?	The broccoli.	Menene ƙasan shinkafar?	Burukulli.
2366365	1760137	What vegetation is surrounding the zebras?	Tall grass.	Wani ciyayi ne a zagaye da raƙumin dawan?	Ciyawa me tsawo.
2398318	1591153	What is laying next to the remote?	Cat.	Menene a kwanci kusa da rimot?	Mage.
2368614	1806458	What kind of roof is on the buildings?	Thatched straw.	Wani irin rufi ne akan gininnikan?	Ciyawa bambaro.
2404964	1150216	What is being eaten on the street?	Paper wrapped hotdog.	Menene ake cin sa akan hanya?	Hot dog a rufe da takarda.
2360200	1636836	Who is in shorts?	Both children.	Waye sanye da gajeran wando?	Duk yaran biyu.
2379554	491941	How many boards are there?	3	Allo nawa en a wurin?	3
2360055	1633801	What is a woman looking at?	Cell phone.	Me mata take kallo?	Wayar hannu.
2348407	772693	What color is the frisbee?	Blue.	Wani launi ne abun wasan?	Shuɗi.
2326403	278143	What color is the sky?	Blue.	Wani launi ne sararin samaniya?	Shuɗi.
2333198	401073	When was the photo taken?	Daytime.	Da yaushe aka dauki hoton?	Da rana.
2331288	658416	What color are the sliced peppers?	Red.	Wani launi ne yankakken tattasan?	Ja.
2416971	946919	What is the man holding?	The surfboard.	Me mutumin yake riƙe dashi?	Abun sufa akan ruwa.
2416971	983973	Where was the picture taken?	At the beach.	A ina aka dauki hoton?	A gabar teku.
2346840	326182	What pattern is the bedsheet?	Straight lines.	Wani irin zane zanin gadin ke dashi?	Layika a tsaye.
2331905	849892	Where is location?	A city street.	Ina wurin yake?	A titin birni.
2331905	849893	What is in background?	A building.	Menene a ƙasan bayan?	Gini.
2386676	422198	What does the clock do?	Tell time.	Me agogon yakeyi?	Fadan lokaci.
2407088	199685	What is on the walls?	Tile.	Menene a jikin bangon?	Tayal.
2339938	395687	Who is dancing?	No one.	Waye yake rawa?	Ba kowa.
2394020	1503183	Where are these men riding?	Along the water.	Ina mazan nan suke tafiya?	Gabar ruwan.
2324464	860634	What sport is being played?	Tennis.	Wani wasa akeyi?	Tenis.
2375873	1954711	What is empty on the tree?	Peel of banana.	Menene fanko akan bishiyar?	Bawon ayaba.
2377152	557834	What time of day was this taken?	Daytime.	A wanne lokaci aka ɗauki wannan?	Da rana.
2362311	1678651	What kind of animal is shown?	Cat.	Wana irin dabba aka nuna?	Mage.
2407575	1041639	What is the bird covered in?	Feathers.	Me tsuntsun yake lallaɓe da?	Gashi.
2372900	300914	Why is it bright?	The sun is out.	Me yasa yake da haske?	Saboda rana ta futo.
2394096	416320	What is laying on the floor?	Surfboards.	Me yake kwance a ƙasa.?	Abun hawa igiyar ruwa.
2329339	404156	Where is the airport?	Just ahead.	Ina filin jirgin saman yake?	A ɗan gaban.
2408812	1068121	What is the large coiled object in the back?	Radiator.	Wani abu ne lankwasshe a baya?	Radiyeto.
2367174	1775790	What are the cows doing?	Grazing.	Me shanun sukey?	Kiwo.
2320105	895510	What kind of day is it?	Blue with some rain clouds.	Wace irin rana ce wanna?	Shuɗi da dan hadarin ruwan sama.
2390460	1357764	Why is there rice visible in this picture?	It's an overview photo.	Meyasa ake ganin shinkafa a wannan hoton?	Hoton ta sama yake.
2400617	1225964	What is black object under plate and glass?	Table mat.	Wani baƙin abu ne a ƙasan faranti da kofin gilashi?	Tabarmar kan tebur.
2398626	732523	What is the photo of above computer?	Hockey game.	Wani hoto ne a saman kwamfuta?	Wasan hockey.
2365410	1741300	What is the fence made out of?	Wood.	Daga me akayi shingen?	Itace.
2334356	461202	When was the photo taken?	Night time.	Da yaushe aka dauki hoton?	Da dare.
2334356	461205	How many people are in the photo?	One.	Nawa ne adadin mutane a cikin hoton?	Daya.
2381790	682013	What is his main job?	Reading Parking Meters.	Menene babban aikin sa?	Karanta na'ura ajjiye motoci.
2379554	491937	When is the picture taken?	Daytime.	Yaushe aka dauka hoton?	Da rana.
2360055	1633810	Where is a yellow wall?	Behind the women.	Ina bangon me launin rawaya yake?	Bayan matar.
2345690	710896	Why is the man wearing a black tie?	Because it matches his suit jacket.	Meyasa mutumin yake sanye da baqin madaurin wuya?	Saba ya shiga da kwat da yake sanye da ita.
2349168	644131	What is a color in the kite?	Orange.	Menene launin jirgin wasa na leda?	Ruwan lemo.
2389434	484032	What is in the saucer?	Donut.	Menene a cikin faranti?	Dunut.
2401272	1240422	What is the number of zebras?	2	Menene adadin yawan jakunan dawan?	2
2416971	946917	What color is the wet suit?	Black.	Wani launi ne jiƙarƙiyar rigar?	Baƙi.
2404495	1306097	What large plastic item that you sit in is visible on the deck?	Chair.	Wani katon abu ne wanda ake zama akai ake iya gani a cikin jirgin ruwa din?	Kujera.
2394020	287539	What are both men wearing on their heads?	Hats.	Me mazan guda biyu suka saka a kan su?	Huluna.
2394993	1381951	Where are the sinks?	In a bathroom.	Ina wurin wanke hannun yake?	A bandaki.
2355904	830702	What color are the plates?	White.	Wani launi ne farantan?	Fari.
2388498	1413988	What is in the photo?	A toilet.	Menene a jikin hoton?	Masai na tangaran.
2410258	174323	What is on the bed?	A pillow.	Menene a kan gadon?	Matashin kai.
2384978	359654	How many hands are in the picture?	One.	Hnnaye nawa ne a hoton?	Ɗaya,.
2404973	1150411	What is above the salt shaker?	Another plate.	Menene a saman abun kaɗa gishirin?	Wani farantin.
2400745	1228783	What color is the suit?	Black.	Wanne launi ne kwat din?	Baƙi.
2342996	455828	How many bikes are there?	One.	Keke nawa ne a wurin?	Ɗaya.
2402601	1265312	Where is the blue letters?	On white building.	Ina shuɗin harafan suke?	Akan farin ginin.
2412956	1137114	What is the plane's main color?	White.	Menene ainahin launin jirgin?	Fari.
107919	995163	Who is sitting in the cart?	Man in a white hat.	Waye yake zaune a kan amalanke?	Namiji sanye da farar hula.
2394096	1567897	Where is the number 01?	On a surfboard.	Ina lamba ta 01?	A kan abun hawa igiyar ruwa.
2329339	404159	Why is the plane descending?	Landing.	Meyasa jirgin yayo ƙasa?	Saukowa.
2401708	602097	What color is the plate?	Blue.	Wani launi ne farantin?	Shuɗi.
2412284	158112	What is the man doing?	Playing tennis.	Me mutumin yakeyi?	Wasan tanis.
2366365	1760149	How are the zebras positioned?	Standing.	Yaya jakunan dawan suke?	Tsaye.
2398318	348982	Where is the cat looking?	Off to the side.	Ina magen take kallo?	Can gefe.
2342838	393360	What color are the walls?	Blue.	Wani launi ne bangon?	Shuɗi.
2365410	1741304	What is on the road?	A bus.	Menene a kan hanyar?	Bas.
2368614	1806444	What is in the sky?	Clouds.	Menene a sararin samaniya?	Hadari.
2404964	1150210	Who is eating a hotdog?	A woman.	Waye yake cin hot dog?	Wata mata.
2404964	1150205	Who is eating the hot dog?	The woman.	Waye yake cin hot dog din?	Matar.
2319780	898111	How many people are pictured?	1	Muatane nawa ne a hoton?	1
2319780	898110	What color is the wagon cover?	White.	Wani launi ne rumfar keken keken?	Fari.
2348407	772690	Who is in this picture?	A dog.	Waye a jikin wannan hoton?	Kare.
2333198	401076	Who is in the back?	3 men.	Waye a baya?	Maza 3.
2416971	946920	What is next to the sand?	The water.	Menene a kusa da kasar?	Ruwan.
2346840	326177	What color is the wall?	White.	Menene launin bangon?	Fari.
2386676	422193	What color is the lamp post?	Green.	Menene launin futular?	Kore.
2408245	1055642	What is woman doing?	Using laptop.	Me matar takeyi?	Amfani da kwamfutar tafi-da-gidanka.
2401587	1247162	What is on the woman's feet?	Slippers.	Menene akan ƙafar matar?	Silifas.
2384285	807986	What animal is pictured?	Giraffe.	Wani irin dabba aka nuna?	Raƙumin dawa.
2384285	807993	What color is the animal's tongue?	Purple.	Wani launi ne harshen dabbar?	Purple.
2324464	860641	What color are the chairs in the stands?	Black.	Wani launi ne kujerun da suke wurin zaman?	Baƙi.
2324464	860637	What color is the tennis ball?	Green.	Wani launi ne kwallon tanis din?	Kore.
2394993	1381952	How is the wall covered?	With tile.	Yaya aka rufe bangon?	Da tayal.
2364814	1729190	What kind of pants is the man in the back wearing?	Light blue shorts.	Wana irin wando mutumin baya yasaka?	Gajiran wando shuɗi mai haske.
2317163	919044	What is blue?	Wall.	Menene shuɗi?	Bango.
2317163	919045	How many skaters?	One.	Siketa nawa ne?	Ɗaya.
2321229	886520	What is growing in the background?	Trees.	Me yake fitowa a ƙasan bayan?	Bishiyu.
2362311	697588	What has pointy ears?	The cat.	Me yake da dogwayen kunne?	Magen.
2372279	1881265	What is the building size?	Large.	Menene girman ginin?	Babba.
2342996	455824	What is on the person's back?	A skateboard.	Menene akan bayan mutumin?	Sikebod.
2405438	1160310	What animal is here?	Cat.	Wace dabba ce a nan?	Mage.
2329339	404157	What color is the sun?	Golden orange.	Wani launi ne rana?	Kalar lemu na zinare?.
2408812	1068125	What color is the remote for the truck?	Black.	Rimot din babbar mota wanne launin ne?	Baƙi.
2374384	1924951	What does one see in the glass?	Reflections.	Me mutun ke gani a cikin gilashi?	Hotona masu dawo wa.
2374384	1924933	When was the train at the station?	During daylight hours.	Da yaushe jirgin ƙasan yake tashar shi?	Da lokacin rana.
2346120	326753	How many slices of pizza are in the picture?	8	Yankan fiza guda nawa ne a hoton?	8
2401708	602102	What kind of vegetables are in the dish?	Carrots and broccoli.	Wasu irin kayan lambu ne a abincin?	Karas da burokoli.
2390460	1357757	Where is the rice?	Visible on the plate.	Ina shinkafar take?	A iya ganin ta a kan faranti.
2398626	1401756	Where is the white wall?	Behind the tv.	Ina farin bangon yake?	Bayan talabijin.
2332725	849236	What is in their eyes?	Glass.	Menene a idanun su?	Gilashi.
2365410	695118	When was the photo taken?	Daytime.	Yaushe aka ɗauka hoton?	Da rana.
2351203	258650	What color is the bowl?	Blue.	Wana launi ne kwanan?	Shuɗi.
2351203	258648	What insect is in the picture?	Butterflies.	Wani kwaro ne a cikin hoton?	Malam buɗa mana littafi.
2387173	549814	Where is the cat?	In a suitcase.	Ina magen?	A cikin akwati.
2372238	369845	What color are the letters on the truck?	Red and black.	Wani launi ne harrufan jikin babbar motar?	Ja da baƙi.
2383842	232577	Where is the cat?	Doorstep.	A ina magen take?	Bakin ƙofa.
2362811	1688936	Where is the blue color on the cake?	The bottom.	Ina shudin launin dake kan kek ɗin?	A ƙasa.
2338998	396438	Who is in the room?	No one.	Waye a cikin ɗakin?	Ba kowa.
2338998	396436	What color is the mesh bin?	Blue.	Wani launi ne abun zuba shara mai raga?	Shuɗi.
2333198	401077	Where is the man looking?	At the camera.	Ina mutumin yake kallo?	Ga kamarar.
2346840	326180	What is on the wall?	A piece of art.	Menene a jikin bangon?	Wani ɗan zane.
2404495	1306088	What is the main color of the letter D?	White.	Menene jigon launin harafin D?	Fari.
2386676	422192	What time is it?	07:40:00	Da ƙarfe nawa yanzu?	07:40:00
2321066	887819	What color is the skateboard?	Blue.	Wanne launi ne sikebod din?	Shuɗi.
2384285	807991	What color is the carrot?	Orange.	Wanne launi ne karas din?	Ruwan lemo.
2324464	860636	How many tennis players are there?	1	Yan wasan tanis guda nawa ne a wurin?	1
2324464	860639	What does the player have around his wrists?	Sweat bands.	Me dan wasan ya sanya a wuyan hannunsa?	Abin tsotse gumi.
2355904	830705	How many slices of pizza are missing from the pizza in the foreground?	1	Yankan fizza guda nawa ne babu daga cikin fizzan na saman?	1
2355904	830703	How many plates of pizza are there?	8	Farantin fizza guda nawa ne a wurin?	8
2335893	590785	How many cops are on the street?	3	Ma aikatan tsaro nawa ne a kan titin?	3
2364814	1729195	Where is the yellow writing?	On the scoreboard.	Ina rubutu launin rawaya yake?	A kan allon maki.
2364814	503734	What is behind the man?	A scoreboard.	Meye a bayan mutumin?	Allon rubuta makin wasa.
2404973	1150408	What object has flowers on it?	Plate.	Wani abu ne yake da furanni a jiki?	Farantai.
2321229	886519	What is the child doing?	Riding a horse.	Me yaron yakeyi?	Tafiya a kan doki.
2345977	453740	What is on her hair?	A flower.	Menene akan gashin ta?	Furrai.
2402465	793445	What is the color of the leaf?	Green.	Menene launin ganyen?	Kore.
2348077	452201	When was the photo taken?	Daytime.	Da yaushe aka dauki hoton?	Da rana.
2372279	1881263	What kind of skirt is the woman wearing?	Jean skirt.	Wani irin siket matar take sanye da?	Siket na jins.
2372279	1881254	Why is the woman holding an umbrella?	To block the sun.	Meyasa matar take riƙe da lema?	Don kare rana.
2363955	504411	When was the photo taken?	Daytime.	Yaushe aka dauka hoton?	Da rana.
2374384	1924938	Where are the people waiting on the train?	On the sidewalk.	A ina mutanen suke jira a cikin jirgin ƙasan?	A gefen hanya.
2346120	326759	What is the paddle under the pizza made with?	Wood.	Da me aka hada filafilan ƙasan fizzan?	Katako.
2412284	1121376	What color is the lettering on the sign on the back wall?	Black.	Wani launi ne harrufan dake alamar jikin bangon bayan?	Baƙi.
2387173	549819	What color is the suitcase?	Gray.	Wana launi ne akwatin?	Ruwan toka.
2394894	479666	Why is there food in containers?	Lunchtime.	Meyasa akwai abinci a cikin mazubi?	Lokacin abincin rana.
2404964	791454	What is the sandwich wrapped in?	Paper.	Da me aka nannaɗe sanwicin?	Takarda.
2360200	1636840	What is on the children's backs?	Bags.	Menene a bayan yaran?	Jakankuna.
2379554	491939	What is the color of the sign board?	Red and white.	Menene launin allon alamar?	Fari da ja.
2360055	1633794	What is on the face of the woman in the gray shirt?	Glasses.	Menene a fuskar mata mai sanye da riga mai ruwan toka?	Tabarau.
2345690	710895	What color is the man's shirt?	White.	Menene launin rigar mutumin?	Fari.
2409213	1077187	What color shirt is the man at the far left table wearing?	Blue.	Menene launin rigar mutumin da yake a teburin can baya yake sanye da?	Shuɗi.
2353521	320831	How many fence posts are shown?	6	Tiraku shingen nawa aka nuna?	6
2375027	1938325	When was the photo taken?	During daytime.	Da yaushe aka dauki hoton?	Da rana.
2372238	1880393	Where is the orange?	Cones.	Ina ruwan lemo yake?	Abun tare hanya.
2401272	1240431	What is on the zebra's head?	A mane.	Menene a kan jakunan dawan?	Geza.
2401272	1240423	What is the zebra on the left doing?	Eating.	Me jakin dawan na hannun hagu yakeyi?	Cin abinci.
2362811	1688949	What is the man holding?	Fish.	Me mutumin yake riƙe da?	Kifi.
2338998	396433	How many chairs are there?	Two.	Kujeru nawa ne a wurin?	Biyu.
2415597	963111	When was this photo taken?	During the day.	Da yaushe aka dauki wannan hoton?	Da rana.
2331288	658413	What color is the bowl?	Black.	Wani launi ne kwanon?	Baƙi.
2407088	1198900	What is the pattern in this room?	Checked.	Wani irin zane ne a wannan dakin?	Mai gida-gida.
2408245	1055646	What is on the woman's face?	Glasses.	Menene akan fuskar matar?	Tabarau.
2401587	1247166	What type of ground is the bench on?	Paved red bricks.	A kan wani irin ƙasa kujerar ke kai?	Shimfidaddun jan duwatsu.
2394020	287543	How many horses are there?	2	Dawakai nawa ne a wurin?	2
2375873	1954713	What grows on the tree?	Bananasa.	Me yake fitowa a kan bishiya?	Ayaba.
2355904	830698	What type of food is this?	Pizza.	Wani irn abinci ne wannan?	Fiza.
2384978	359655	What finger is the ring on?	Middle.	Wani danyatsa zoben yake sanye?	Tsakiya.
2400745	1228791	What is red on the guy?	Tie.	Menene ja a jikin mutumin?	Maɗaurin waya.
2328103	276828	How many screens does the computer have?	One.	Allo nawa ne da kwanfutar?	Daya.
2328103	276827	How many chairs are there?	One.	Kujeru nawa ne a wurin?	Daya.
2408812	1068117	What color is the toy truck's body?	Blue.	Wani launi ne jikin babbar motar ta wasa?	Shuɗi.
2315926	928940	What color is the closest plane's tail?	Blue.	Menene launin jelar jirgin mafi kusa?	Shuɗi.
2401708	1249497	What material is the plate?	Ceramic.	Da wani irin abu akayi farantin?	Tangaran.
2400617	1225974	Where is the meat and cheese?	On the plate.	Ina naman da cukwin?	Akan farantin.
2366365	1760150	What are there four of in the photo?	Zebras.	Menene guda hudu a hoton?	Jakunan dawa.
2365410	1741297	What is growing behind the bus?	Trees.	Menene yake girma a bayan bas ɗin?	Bishiyoyi.
2360055	507529	How many people are pictured?	Two.	Mutane ne nawa ne a hoton?	Biyu.
2337698	397478	What is on the street?	Cars.	Menene akan titi?	Motoci.
2393677	1439709	What type of cell phones are these?	Smart phones.	Wane irin wayar hannu ne wannan?	Wayoyin hannu na zamani.
2389434	1543087	What shape is the bowl?	Round.	Wanne siffa ne kwanon?	Zagaye.
2389434	1480137	What shape is the doughnut?	Circle.	Wanne siffa ne doughnut din?	Zagaye.
2348407	772696	When was this picture taken?	During the daytime.	Da yaushe aka dauki wannan hoton?	Da rana.
2415597	963108	What is on the catcher and umpires face?	Face mask.	Menene a fuskar mai kamawa da kuma Alkalin wasan?	Takunkumin fuska.
2408923	185001	How many cats are in the image?	One.	Maguna nawa ne a hoton?	Daya.
2407088	1198907	How many people are here?	None.	Mutane nanwa ne a wurin?	Babu.
2339938	395682	What is the person doing?	Skateboarding.	Me mutumin yakeyi?	Wasan sikebod.
2339938	395685	How many trucks are there?	None.	Manyan motoci nawa ne a wurin?	Babu.
2394993	543580	What color are the countertops?	Pink.	Wani launi ne a saman tebur din?	Ruwan hoda.
2355904	830700	How many people are in this picture?	1	Mutane nawa ne a jikin wannan hoton?	1
2410258	1110042	What color is the sheets?	Pink and red.	Wana launi ne zanen gadon?	Ruwan hoda da ja.
2377152	557838	How many flowers are visible?	One.	Furannai nawa ake iya gani?	Daya.
2404973	1150392	Where is the bread located?	On the plate.	Ina burodi yake?	Akan faranti.
2364241	1717964	Where is the sunlight shining?	Floor.	Ina rana take haskawa?	Ƙasa.
2363955	504413	How many birds are there?	One.	Tsuntsun tsaye nawa ne a wurin?	Ɗaya.
2405438	212881	What is sitting on the keyboard?	A cat.	Me yake zaune a kan keyboard?	Mage.
2388717	1539395	What is in the sky?	Clouds.	Menene a sararin samaniya?	Hadari.
2315926	928944	How many entire planes are visible?	1	Jiragen nawa ne ake iya ganin su gaba daya?	1
2367174	1775791	Where are the cows?	On a grassy field.	Ina shanun suke?	A fili me ciyawa.
2398318	1591151	What is the white object the cat is laying on?	Sheet.	Menene farin abun da magen take kai?	Zanin gadao.
2368614	1806460	Where is this scene set?	An outdoor market.	A ina ne hakan?	A bakin kasuwa?.
2381790	682015	How many Parking Meters are there?	3	Na'urar auna tsawon ajjiyar mota guda nawa ne ana?	3
2409213	1077193	What are the people eating near?	Water.	Mutanen da suke cin abinci a wurin a kusa da me suke?	Ruwa.
2349168	644130	When is the photo taken?	Daytime.	Yaushe aka dauki hoton?	Da rana.
2393677	1439705	What is in the background?	Trees.	Menene a kasan bayan?	Bishiyu.
2353521	320824	What is the focus?	Airplane flying in storm.	Ina aka mayar da hankali?	Jirgin sama yana yawo a cikin hadari.
2375027	1938318	What is the animal on the left?	A giraffe.	Wanne dabba ne a bangaren hagu?	Raqumin dawa.
2326403	278136	What is growing on pavement?	Weeds.	Menene yake tsiro a kan hanyar?	Ciyawa.
2408923	1070451	What is the cat laying on?	The paper.	Me magen take kai?	Takardar.
2404495	466063	What color is his shirt?	Blue.	Wani launi ne rigar sa?	Shuɗi.
2317163	919047	What is on his head?	Hat.	Menene a kan sa?	Hula.
2317163	919043	Where is he skating?	Park.	A ina yake wasan kankara?	Wurin wasa.
2326112	598581	How many boats?	Two.	Boots nawa ne?	Biyu.
2345977	453741	When was the photo taken?	During the day.	Da yaushe aka ɗauki hoton?	Da rana.
2405438	1160311	Where is the cat?	Keyboard.	Ina magen take?	Keyboard.
2380647	980741	Where was the photo taken?	On the sidewalk.	A ina aka ɗauki hoton?	A  gefen titi.
2372900	1894964	Where are the boats?	In the water.	Ina jirgin ruwan suke?	A cikin ruwa.
2373825	1914024	What room is this in?	Bathroom.	A wanne dakin wannan yake?	Bandaki.
2329339	404154	Who flies the plane?	A pilot.	Wa  yake tuƙa jirgin saman?	Matuƙin jirgin sama.
2408812	1068112	What toy is on the white counter?	Remote controlled truck.	Wani abun wasa ne akan farin tebur din?	Babbar motar da ake sarrafa wa da rimot.
2400617	1225979	What is on the plate?	Food.	Menene a kan farantin?	Abinci.
2366365	1760145	What is white in the sky?	Clouds.	Menene fari a sararin samaniya?	Hadari.
2342838	393362	What is the desk made of?	Wood.	Dame a kai teburin ?	Katako.
2345386	775118	Who is wearing glasses?	The woman.	Wayake sanye da tabarau?	Matar.
2394894	1445589	What is in front of the small blue container?	Pink container.	Mene ne shuɗi ƙarami a gaban robar?	Roba ruwan hoda.
2390196	1356193	What is the jar made of?	Glass.	Menene aka yi kwalbar?	Gilashi.
2386514	486372	What color is the dirt?	Brown.	Wani launi ne kasar?	Ruwan kasa.
2381790	682014	Why do you think this was taken long ago?	All the Vehicles are Older.	Meyasa kake ganin an dauki wannan da dadewa?	Duk ababen hawan tsaffi ne.
2319780	898109	What color are the mules?	Brown.	Wani launi ne alfadaran?	Ruawan ƙasa.
2349168	644125	What surrounds the sand?	Water.	Me ya zage ƙasar?	Ruwa.
2375027	751400	When was the photo taken?	Daytime.	Da yaushe aka ɗauki hoton?	Da rana.
2326403	278139	When was this taken?	Daytime.	Da yaushe aka ɗauki hoton?	Da rana.
2333198	401079	How many people are pictured?	4	Mutane nawa aka ɗauka a hoto?	4
2331288	658415	What color is the table?	Blue.	Wani launi ne teburin?	Shuɗi.
2331288	658419	How many elephants are pictured?	Zero.	Giwaye nawa ne a hoton?	Babu.
2408923	1070447	How many newspapers are on the table?	One.	Jaridu nawa ne akan tebur din?	Ɗaya.
2386676	422195	Where is the red object?	On the right.	Ina jan abun yake?	A bangaren dama.
2408245	1055654	What is on the girl's hat?	Orange bats.	Menene akan hular yarinyar?	Jemage ruwan hoda.
2401587	1247161	Where is the woman sitting?	On a bench.	Ina matar take zaune?	Akan kujera.
2385577	423070	What are the toppings on top of?	The crust.	Akan me kayan hadin saman ke kai?	Burodi.
2386740	304851	How many red signs?	One.	Jar alama guda nawa ce?	Ɗaya.
2388498	1538445	What position is the toilet cover in?	Up.	A wani bangare murfin masai'n yake?	Sama.
2388498	356833	What color is the sign?	Red.	Wani launi ne alamar?	Ja.
2410258	174322	What color are the bed linens?	Red.	Menene launin lilin gadon?	Ja.
2335893	590782	Where is this shot?	Street.	A ina aka ɗauki wannan hotan?	Kantiti.
2362311	1678662	What is sitting down in front of mirror?	White cat.	Me yake zaune a gaban madubi?	Farar kyanwa.
